"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"25.02.2022","59,7","58,6","60,1","55,1","2,59M","1,15%"
"24.02.2022","59,0","61,5","64,1","55,0","4,48M","-4,02%"
"22.02.2022","61,5","62,5","62,7","61,2","2,01M","-0,39%"
"21.02.2022","61,7","61,0","62,2","60,5","2,59M","0,90%"
"18.02.2022","61,2","61,1","61,4","60,4","1,37M","0,48%"
"17.02.2022","60,9","61,3","61,8","60,8","797,35K","-0,72%"
"16.02.2022","61,3","61,5","61,5","60,6","1,08M","0,31%"
"15.02.2022","61,1","61,3","61,5","60,8","1,42M","-0,57%"
"14.02.2022","61,5","62,1","62,2","60,8","1,31M","-0,92%"
"11.02.2022","62,1","61,4","62,7","61,0","1,04M","1,27%"
"10.02.2022","61,3","62,2","62,5","61,2","1,10M","-1,49%"
"09.02.2022","62,2","61,6","62,2","61,4","906,93K","1,06%"
"08.02.2022","61,6","61,6","61,6","61,0","1,08M","0,00%"
"07.02.2022","61,5","62,3","62,3","61,4","922,12K","-0,73%"
"04.02.2022","62,0","62,9","62,9","61,3","1,08M","-0,51%"
"03.02.2022","62,3","63,4","63,5","62,1","948,98K","-1,90%"
"02.02.2022","63,5","64,0","64,0","63,0","1,27M","0,17%"
"01.02.2022","63,4","63,1","63,6","62,5","1,65M","0,49%"
"31.01.2022","63,1","62,4","63,1","62,0","1,50M","1,33%"
"28.01.2022","62,3","61,7","62,3","60,0","1,54M","1,53%"
"27.01.2022","61,3","62,4","62,5","60,9","1,69M","-1,70%"
"26.01.2022","62,4","62,9","64,3","62,0","1,89M","0,14%"
"25.01.2022","62,3","62,5","62,8","61,5","1,70M","-0,64%"
"24.01.2022","62,7","62,2","63,2","60,7","3,06M","0,97%"
"21.01.2022","62,1","62,6","63,1","61,7","1,79M","-0,80%"
"20.01.2022","62,6","63,3","63,9","62,5","1,22M","-0,48%"
"19.01.2022","62,9","63,9","64,0","62,8","1,35M","-1,72%"
"18.01.2022","64,0","64,5","64,5","63,8","1,43M","-0,79%"
"17.01.2022","64,5","64,4","65,0","64,0","1,53M","0,12%"
"14.01.2022","64,4","64,7","65,0","63,8","1,31M","-0,34%"
"13.01.2022","64,7","63,8","65,8","63,7","1,35M","0,56%"
"12.01.2022","64,3","63,7","64,5","63,7","1,12M","0,77%"
"11.01.2022","63,8","63,7","64,0","63,1","1,55M","0,38%"
"10.01.2022","63,6","64,5","64,5","62,7","2,74M","-2,47%"
"06.01.2022","65,2","65,8","65,9","65,0","1,02M","-1,21%"
"05.01.2022","66,0","66,0","66,4","65,5","1,01M","0,00%"
"04.01.2022","66,0","65,6","66,4","65,2","1,14M","1,32%"
"03.01.2022","65,2","65,1","66,3","64,6","1,17M","0,11%"
"30.12.2021","65,1","65,1","65,7","64,7","1,66M","0,25%"
"29.12.2021","64,9","64,6","64,9","64,3","1,49M","0,59%"
"28.12.2021","64,6","64,1","64,7","64,1","1,38M","0,64%"
"27.12.2021","64,1","63,5","64,2","62,8","1,40M","0,91%"
"24.12.2021","63,6","63,3","63,6","62,9","769,05K","0,44%"
"23.12.2021","63,3","63,2","63,4","62,7","740,21K","0,27%"
"22.12.2021","63,1","62,7","63,1","62,2","694,34K","0,93%"
"21.12.2021","62,5","62,5","62,7","61,6","949,25K","1,35%"
"20.12.2021","61,7","62,4","62,4","61,3","2,21M","-1,34%"
"17.12.2021","62,5","63,1","63,1","62,1","699,16K","-0,67%"
"16.12.2021","63,0","63,3","63,8","62,8","1,08M","0,25%"
"15.12.2021","62,8","62,5","63,3","62,2","694,32K","0,53%"
"14.12.2021","62,5","63,0","63,1","62,0","1,13M","-0,54%"
"13.12.2021","62,8","63,5","63,7","62,8","1,14M","-0,30%"
"10.12.2021","63,0","63,3","63,3","62,6","937,14K","-0,41%"
"09.12.2021","63,3","63,4","63,7","62,9","603,54K","0,09%"
"08.12.2021","63,2","63,9","63,9","62,8","742,04K","0,00%"
"07.12.2021","63,2","62,8","63,6","62,3","1,94M","1,36%"
"06.12.2021","62,4","61,2","62,6","60,9","1,27M","2,15%"
"03.12.2021","61,1","62,0","62,1","61,0","1,06M","-1,21%"
"02.12.2021","61,8","61,8","62,0","60,8","1,23M","0,00%"
"01.12.2021","61,8","62,8","62,9","61,8","1,53M","-0,64%"
"30.11.2021","62,2","63,3","63,8","62,1","1,06M","-2,63%"
"29.11.2021","63,9","63,7","64,3","63,3","1,18M","0,47%"
"26.11.2021","63,6","64,5","64,5","63,1","1,06M","-1,41%"
"25.11.2021","64,5","64,4","65,0","64,1","703,37K","0,19%"
"24.11.2021","64,4","63,9","65,0","63,6","860,24K","0,94%"
"23.11.2021","63,8","64,5","64,7","63,2","1,36M","-1,54%"
"22.11.2021","64,8","63,5","65,3","63,4","1,79M","2,05%"
"19.11.2021","63,5","63,4","63,7","63,0","863,24K","0,32%"
"18.11.2021","63,3","63,0","63,5","62,5","847,09K","0,96%"
"17.11.2021","62,7","63,5","63,7","62,4","865,25K","-0,95%"
"16.11.2021","63,3","62,8","63,7","62,3","944,81K","1,28%"
"15.11.2021","62,5","62,7","63,0","62,0","1,18M","-0,32%"
"12.11.2021","62,7","61,4","63,0","60,9","1,09M","2,45%"
"11.11.2021","61,2","60,9","61,4","60,7","609,05K","0,49%"
"10.11.2021","60,9","61,0","61,3","60,6","646,47K","-0,16%"
"09.11.2021","61,0","61,7","61,7","60,9","833,05K","-0,81%"
"08.11.2021","61,5","61,7","61,8","61,1","1,01M","0,00%"
"05.11.2021","61,5","61,8","62,1","61,4","1,16M","0,00%"
"03.11.2021","61,5","60,9","61,6","60,6","833,46K","0,99%"
"02.11.2021","60,9","60,7","61,2","60,5","821,44K","0,33%"
"01.11.2021","60,7","60,2","60,7","60,1","1,03M","1,00%"
"29.10.2021","60,1","59,5","60,1","59,0","764,95K","1,52%"
"28.10.2021","59,2","59,5","59,6","58,9","598,83K","0,00%"
"27.10.2021","59,2","58,9","59,5","58,5","636,84K","1,02%"
"26.10.2021","58,6","58,5","58,9","58,4","630,60K","-0,17%"
"25.10.2021","58,7","58,9","59,4","58,2","921,67K","-0,34%"
"22.10.2021","58,9","59,4","59,8","58,6","650,79K","-1,01%"
"21.10.2021","59,5","59,2","59,6","59,0","443,27K","0,51%"
"20.10.2021","59,2","59,4","59,5","59,0","717,19K","0,17%"
"19.10.2021","59,1","59,1","59,5","58,6","835,83K","0,17%"
"18.10.2021","59,0","58,5","59,0","58,2","765,55K","0,85%"
"15.10.2021","58,5","58,5","58,6","58,2","614,76K","0,17%"
"14.10.2021","58,4","58,1","58,5","57,9","771,82K","0,86%"
"13.10.2021","57,9","57,7","57,9","57,2","569,63K","0,87%"
"12.10.2021","57,4","57,5","57,9","57,0","660,87K","-0,35%"
"11.10.2021","57,6","58,1","58,5","57,5","1,06M","-0,86%"
"08.10.2021","58,1","58,6","58,6","58,0","1,15M","0,17%"
"07.10.2021","58,0","58,7","58,7","57,9","1,86M","0,87%"
"04.10.2021","57,5","58,3","58,4","57,0","1,86M","-1,37%"
"01.10.2021","58,3","57,7","58,5","56,9","1,35M","1,22%"
"30.09.2021","57,6","58,7","59,3","57,5","1,12M","-1,54%"
"29.09.2021","58,5","58,5","59,0","58,2","932,50K","0,00%"
"28.09.2021","58,5","59,5","59,6","58,4","1,20M","-1,52%"
"27.09.2021","59,4","59,9","60,2","59,2","909,90K","-0,50%"
"24.09.2021","59,7","59,8","60,1","59,5","720,60K","-0,17%"
"23.09.2021","59,8","59,3","59,9","59,1","1,15M","0,84%"
"22.09.2021","59,3","59,8","59,8","58,7","1,08M","1,19%"
"21.09.2021","58,6","59,9","59,9","58,5","1,18M","-0,51%"
"20.09.2021","58,9","59,4","59,4","58,1","1,81M","-0,84%"
"17.09.2021","59,4","60,2","60,2","59,4","785,80K","-0,67%"
"16.09.2021","59,8","59,7","60,0","59,4","1,13M","0,17%"
"15.09.2021","59,7","59,8","60,2","59,4","890,60K","-0,17%"
"14.09.2021","59,8","60,0","60,2","59,6","972,60K","-0,33%"
"13.09.2021","60,0","60,7","60,7","59,6","1,17M","-0,33%"
"10.09.2021","60,2","60,4","60,7","60,1","980,80K","-0,33%"
"09.09.2021","60,4","61,0","61,0","60,4","771,00K","-0,82%"
"08.09.2021","60,9","61,4","61,4","60,7","744,90K","-0,33%"
"07.09.2021","61,1","61,2","61,4","60,9","952,40K","-0,16%"
"06.09.2021","61,2","61,0","61,4","61,0","881,70K","0,66%"
"03.09.2021","60,8","61,1","61,2","60,6","822,20K","-0,33%"
"02.09.2021","61,0","60,9","61,3","60,7","887,10K","0,16%"
"01.09.2021","60,9","61,5","61,5","60,7","1,05M","-0,49%"
"31.08.2021","61,2","61,5","61,8","61,0","929,30K","-0,33%"
"30.08.2021","61,4","61,4","61,5","61,1","1,00M","0,49%"
"27.08.2021","61,1","61,2","61,3","60,8","739,20K","0,00%"
"26.08.2021","61,1","61,5","61,5","61,0","675,40K","-0,16%"
"25.08.2021","61,2","61,3","61,4","60,8","681,80K","0,33%"
"24.08.2021","61,0","61,2","61,3","60,9","877,40K","-0,16%"
"23.08.2021","61,1","60,7","61,2","60,6","1,03M","0,66%"
"20.08.2021","60,7","60,2","60,7","59,9","634,60K","0,83%"
"19.08.2021","60,2","59,9","60,3","59,3","1,27M","0,84%"
"18.08.2021","59,7","60,2","60,4","59,6","639,00K","-0,83%"
"17.08.2021","60,2","60,5","60,6","59,6","912,50K","-0,17%"
"16.08.2021","60,3","60,5","60,5","59,9","878,00K","0,17%"
"13.08.2021","60,2","60,7","60,7","60,1","707,30K","-0,33%"
"12.08.2021","60,4","60,5","60,5","59,8","597,50K","0,50%"
"11.08.2021","60,1","60,7","60,7","60,0","905,70K","-0,50%"
"10.08.2021","60,4","60,1","60,6","60,0","789,60K","0,33%"
"09.08.2021","60,2","60,0","60,2","59,6","854,70K","0,33%"
"06.08.2021","60,0","59,8","60,1","59,5","1,36M","0,67%"
"05.08.2021","59,6","59,4","59,6","59,3","615,40K","0,34%"
"04.08.2021","59,4","59,6","59,6","59,0","565,60K","0,17%"
"03.08.2021","59,3","59,1","59,5","58,9","1,12M","0,51%"
"02.08.2021","59,0","59,4","59,8","59,0","1,30M","-0,51%"
"30.07.2021","59,3","59,4","59,7","58,9","850,90K","-0,17%"
"29.07.2021","59,4","59,8","59,9","59,2","597,80K","-0,34%"
"28.07.2021","59,6","59,6","60,0","59,5","1,06M","-0,17%"
"27.07.2021","59,7","59,9","60,2","59,4","1,21M","-0,50%"
"26.07.2021","60,0","59,9","60,3","59,6","956,10K","0,17%"
"23.07.2021","59,9","59,8","60,0","59,3","672,70K","1,01%"
"22.07.2021","59,3","59,7","59,7","59,2","2,27M","-0,34%"
"21.07.2021","59,5","59,2","59,7","59,1","704,70K","0,51%"
"20.07.2021","59,2","59,0","59,3","58,3","922,40K","1,02%"
"19.07.2021","58,6","59,0","59,3","58,1","1,45M","-0,51%"
"16.07.2021","58,9","59,7","59,8","58,7","1,15M","-1,01%"
"15.07.2021","59,5","60,0","60,0","59,3","943,90K","-0,17%"
"14.07.2021","59,6","59,5","60,2","59,2","1,04M","-0,33%"
"13.07.2021","59,8","60,1","60,1","59,6","1,04M","-0,66%"
"12.07.2021","60,2","60,0","60,2","59,6","1,07M","0,84%"
"09.07.2021","59,7","59,5","59,7","59,0","771,60K","0,67%"
"08.07.2021","59,3","60,0","60,1","59,0","1,23M","-1,00%"
"07.07.2021","59,9","59,3","60,0","58,9","1,02M","1,35%"
"06.07.2021","59,1","59,0","59,5","58,2","16,01M","0,34%"
"05.07.2021","58,9","58,5","59,0","58,4","820,80K","0,68%"
"02.07.2021","58,5","58,4","58,7","58,2","842,20K","0,17%"
"01.07.2021","58,4","57,9","58,4","57,6","752,60K","0,86%"
"30.06.2021","57,9","57,7","58,0","57,2","717,50K","0,52%"
"29.06.2021","57,6","57,0","57,7","56,9","788,90K","1,23%"
"28.06.2021","56,9","56,8","57,0","56,7","891,30K","0,18%"
"25.06.2021","56,8","56,9","57,0","56,4","700,20K","0,18%"
"24.06.2021","56,7","56,9","56,9","56,5","1,04M","0,00%"
"23.06.2021","56,7","56,7","57,1","56,5","563,60K","-0,18%"
"22.06.2021","56,8","57,0","57,0","56,7","471,90K","-0,18%"
"21.06.2021","56,9","56,1","56,9","55,6","841,40K","2,15%"
"18.06.2021","55,7","56,1","56,3","55,6","1,08M","-0,71%"
"17.06.2021","56,1","56,3","56,3","55,7","594,80K","-0,18%"
"16.06.2021","56,2","56,2","56,2","55,6","709,00K","-0,18%"
"15.06.2021","56,3","56,3","56,4","56,1","746,00K","0,00%"
"14.06.2021","56,3","56,3","56,5","55,9","688,00K","0,18%"
"11.06.2021","56,2","55,8","56,2","55,6","617,90K","0,72%"
"10.06.2021","55,8","55,9","56,0","55,5","1,01M","-0,18%"
"09.06.2021","55,9","55,9","56,1","55,7","582,40K","-0,18%"
"08.06.2021","56,0","56,5","56,5","55,9","610,50K","-0,71%"
"07.06.2021","56,4","56,8","56,8","56,2","816,40K","0,00%"
"04.06.2021","56,4","56,1","56,4","56,0","643,00K","0,18%"
"03.06.2021","56,3","56,4","56,7","55,8","709,00K","-0,18%"
"02.06.2021","56,4","56,6","56,7","56,3","786,20K","-0,35%"
"01.06.2021","56,6","56,2","57,0","56,2","949,50K","0,71%"
"31.05.2021","56,2","56,5","56,9","56,2","802,50K","-0,53%"
"28.05.2021","56,5","56,8","57,0","56,4","684,70K","-0,35%"
"27.05.2021","56,7","56,4","56,7","56,2","513,40K","0,35%"
"26.05.2021","56,5","56,4","56,7","56,3","848,20K","0,18%"
"25.05.2021","56,4","56,5","56,6","56,2","863,10K","-0,18%"
"24.05.2021","56,5","55,9","56,5","55,9","894,30K","0,71%"
"21.05.2021","56,1","56,2","56,3","55,9","644,70K","0,36%"
"20.05.2021","55,9","55,3","56,0","55,0","774,90K","1,08%"
"19.05.2021","55,3","55,4","55,7","54,8","1,16M","-0,36%"
"18.05.2021","55,5","56,1","56,4","55,3","765,20K","-1,25%"
"17.05.2021","56,2","56,3","56,4","56,0","825,30K","-0,35%"
"14.05.2021","56,4","55,9","56,9","55,6","970,20K","1,44%"
"13.05.2021","55,6","55,2","55,9","54,8","1,23M","0,36%"
"12.05.2021","55,4","56,0","56,2","55,3","1,27M","-1,25%"
"11.05.2021","56,1","56,5","56,5","55,6","1,64M","-1,41%"
"10.05.2021","56,9","57,0","57,5","56,8","970,40K","-0,18%"
"07.05.2021","57,0","56,9","57,1","56,7","725,40K","0,00%"
"06.05.2021","57,0","57,4","57,4","56,5","759,20K","-0,18%"
"05.05.2021","57,1","57,1","57,3","56,7","1,11M","0,00%"
"04.05.2021","57,1","57,7","57,8","56,7","1,65M","-1,21%"
"30.04.2021","57,8","57,5","57,8","57,3","826,60K","0,35%"
"29.04.2021","57,6","57,5","57,6","57,0","650,80K","0,70%"
"28.04.2021","57,2","57,7","57,7","57,0","701,80K","-0,69%"
"27.04.2021","57,6","57,8","57,8","57,3","709,20K","-0,17%"
"26.04.2021","57,7","57,5","57,7","57,2","903,20K","0,35%"
"23.04.2021","57,5","57,0","57,7","56,7","1,22M","0,35%"
"22.04.2021","57,3","58,5","58,6","57,1","1,29M","-2,05%"
"21.04.2021","58,5","58,2","58,5","57,9","768,40K","0,69%"
"20.04.2021","58,1","58,2","58,6","57,9","1,14M","-0,17%"
"19.04.2021","58,2","58,4","58,6","58,0","1,12M","0,00%"
"16.04.2021","58,2","58,1","58,3","57,7","1,08M","-0,34%"
"15.04.2021","58,4","58,8","58,8","58,0","1,24M","1,39%"
"14.04.2021","57,6","57,5","57,8","57,3","1,17M","-0,17%"
"13.04.2021","57,7","58,6","58,7","57,4","1,57M","-1,54%"
"12.04.2021","58,6","58,7","59,2","58,3","1,85M","0,17%"
"09.04.2021","58,5","58,0","58,6","57,8","1,17M","1,04%"
"08.04.2021","57,9","57,8","58,1","57,4","1,12M","0,52%"
"07.04.2021","57,6","57,9","58,5","57,3","2,10M","-0,17%"
"06.04.2021","57,7","56,8","57,8","56,4","1,33M","1,23%"
"05.04.2021","57,0","56,7","57,0","56,2","1,79M","0,88%"
"02.04.2021","56,5","56,0","56,5","55,9","867,80K","0,71%"
"01.04.2021","56,1","55,2","56,2","54,9","980,10K","1,81%"
"31.03.2021","55,1","54,9","55,6","54,5","1,04M","0,18%"
"30.03.2021","55,0","55,1","55,8","54,8","699,90K","-0,18%"
"29.03.2021","55,1","54,8","55,2","54,8","880,80K","0,18%"
"26.03.2021","55,0","54,5","55,0","54,3","637,80K","0,73%"
"25.03.2021","54,6","54,6","54,6","53,9","1,11M","-0,36%"
"24.03.2021","54,8","55,1","55,2","54,4","799,80K","0,18%"
"23.03.2021","54,7","54,1","55,1","54,1","1,12M","1,11%"
"22.03.2021","54,1","53,2","54,3","53,0","1,03M","1,88%"
"19.03.2021","53,1","53,4","53,4","52,8","718,20K","-0,93%"
"18.03.2021","53,6","53,7","54,0","53,3","710,60K","0,00%"
"17.03.2021","53,6","53,2","53,7","53,0","1,03M","1,13%"
"16.03.2021","53,0","53,1","53,3","52,9","742,20K","0,19%"
"15.03.2021","52,9","53,1","53,1","52,6","1,08M","-0,38%"
"12.03.2021","53,1","53,2","53,2","52,8","770,30K","0,19%"
"11.03.2021","53,0","53,0","53,4","52,8","950,40K","0,57%"
"10.03.2021","52,7","52,5","52,9","52,3","1,03M","0,38%"
"09.03.2021","52,5","52,3","52,8","50,4","1,92M","0,38%"
"05.03.2021","52,3","51,3","52,4","50,9","1,27M","0,97%"
"04.03.2021","51,8","51,7","51,9","50,5","1,93M","-0,96%"
"03.03.2021","52,3","53,0","53,6","52,1","1,05M","-0,95%"
"02.03.2021","52,8","53,3","53,6","52,6","1,04M","-1,12%"
"01.03.2021","53,4","52,6","53,6","52,4","1,34M","1,14%"
"26.02.2021","52,8","53,0","53,0","52,1","1,50M","-0,19%"
"25.02.2021","52,9","53,3","53,5","52,5","1,17M","-0,38%"
"24.02.2021","53,1","52,7","53,3","52,5","1,77M","-0,38%"
"22.02.2021","53,3","53,4","53,7","53,2","740,00K","-99,00%"
"20.02.2021","5.341,0","5.364,0","5.370,0","5.324,0","5,11K","9.864,55%"
"19.02.2021","53,6","53,7","53,8","53,2","840,10K","0,19%"
"18.02.2021","53,5","53,5","53,5","53,1","1,39M","0,00%"
"17.02.2021","53,5","53,7","53,8","53,4","807,70K","0,00%"
"16.02.2021","53,5","53,6","53,9","53,4","1,04M","-0,19%"
"15.02.2021","53,6","53,5","53,9","53,4","1,11M","0,00%"
"12.02.2021","53,6","53,5","54,0","53,2","912,20K","0,75%"
"11.02.2021","53,2","53,4","53,5","53,1","896,60K","-0,19%"
"10.02.2021","53,3","53,5","53,6","53,1","1,05M","-0,19%"
"09.02.2021","53,4","53,8","53,8","53,2","1,05M","-0,37%"
"08.02.2021","53,6","53,6","53,7","53,4","1,34M","0,19%"
"05.02.2021","53,5","54,2","54,2","53,4","1,21M","-0,74%"
"04.02.2021","53,9","53,6","54,2","53,3","1,17M","0,37%"
"03.02.2021","53,7","53,7","54,3","53,6","1,41M","-0,56%"
"02.02.2021","54,0","53,1","54,0","53,0","1,73M","1,69%"
"01.02.2021","53,1","52,1","53,1","52,0","1,53M","2,12%"
"29.01.2021","52,0","53,1","53,1","51,7","1,54M","-1,89%"
"28.01.2021","53,0","52,1","53,6","51,9","1,49M","1,15%"
"27.01.2021","52,4","53,4","53,5","52,0","1,43M","-1,69%"
"26.01.2021","53,3","53,6","53,6","53,2","1,25M","-0,37%"
"25.01.2021","53,5","53,4","54,0","52,4","1,70M","0,19%"
"22.01.2021","53,4","52,5","53,5","52,4","1,32M","1,71%"
"21.01.2021","52,5","52,0","52,6","52,0","1,33M","0,38%"
"20.01.2021","52,3","52,0","52,3","51,4","901,10K","1,36%"
"19.01.2021","51,6","51,5","52,2","51,3","898,40K","0,19%"
"18.01.2021","51,5","51,4","51,6","51,0","1,24M","0,78%"
"15.01.2021","51,1","51,7","51,7","50,9","1,19M","-0,58%"
"14.01.2021","51,4","51,8","52,1","51,4","1,24M","-0,96%"
"13.01.2021","51,9","51,9","51,9","51,5","1,15M","0,58%"
"12.01.2021","51,6","52,7","52,7","51,4","1,66M","-1,53%"
"11.01.2021","52,4","52,2","52,5","52,0","1,51M","0,58%"
"08.01.2021","52,1","51,2","52,4","51,1","1,41M","2,16%"
"06.01.2021","51,0","50,8","51,3","50,2","1,15M","0,39%"
"05.01.2021","50,8","50,9","51,3","50,5","1,23M","0,40%"
"04.01.2021","50,6","51,6","51,8","50,1","2,29M","-1,17%"
"30.12.2020","51,2","51,0","51,6","50,7","1,47M","0,39%"
"29.12.2020","51,0","51,4","51,6","50,9","1,31M","-0,20%"
"28.12.2020","51,1","50,9","51,2","50,8","1,23M","0,59%"
"25.12.2020","50,8","50,9","50,9","50,3","902,90K","0,40%"
"24.12.2020","50,6","51,6","51,6","50,4","1,61M","-1,56%"
"23.12.2020","51,4","51,5","51,7","51,0","2,39M","-0,39%"
"22.12.2020","51,6","50,7","51,7","50,4","1,29M","1,57%"
"21.12.2020","50,8","50,5","51,2","50,1","2,28M","1,60%"
"18.12.2020","50,0","50,1","50,9","49,8","1,01M","0,20%"
"17.12.2020","49,9","50,0","50,2","49,6","1,13M","-0,40%"
"16.12.2020","50,1","49,9","50,2","49,6","1,05M","0,40%"
"15.12.2020","49,9","49,9","50,1","49,3","1,10M","0,60%"
"14.12.2020","49,6","49,5","50,0","49,2","1,38M","1,02%"
"11.12.2020","49,1","49,9","49,9","48,9","1,56M","-0,41%"
"10.12.2020","49,3","49,9","50,0","49,1","1,16M","-1,00%"
"09.12.2020","49,8","49,7","50,5","49,7","1,19M","-0,40%"
"08.12.2020","50,0","49,9","50,0","49,3","1,71M","0,40%"
"07.12.2020","49,8","50,0","50,3","49,6","3,75M","-0,80%"
"04.12.2020","50,2","50,3","50,3","49,9","1,78M","0,20%"
"03.12.2020","50,1","50,5","50,8","50,0","1,62M","-0,99%"
"02.12.2020","50,6","51,0","51,1","50,4","1,39M","-0,78%"
"01.12.2020","51,0","50,8","51,3","50,8","2,25M","0,59%"
"30.11.2020","50,7","50,7","50,9","50,4","1,44M","0,00%"
"27.11.2020","50,7","50,5","50,9","50,4","1,03M","0,80%"
"26.11.2020","50,3","50,6","50,6","50,2","2,48M","0,20%"
"25.11.2020","50,2","50,2","50,5","50,1","1,43M","0,00%"
"24.11.2020","50,2","49,9","50,3","49,9","1,03M","0,40%"
"23.11.2020","50,0","49,7","50,0","49,4","1,54M","0,60%"
"20.11.2020","49,7","49,9","49,9","49,5","7,37M","-0,20%"
"19.11.2020","49,8","50,0","50,0","49,5","987,30K","0,40%"
"18.11.2020","49,6","50,2","50,2","49,6","1,14M","-1,00%"
"17.11.2020","50,1","50,4","50,5","49,9","1,24M","-0,40%"
"16.11.2020","50,3","50,3","51,2","50,1","1,89M","-0,59%"
"13.11.2020","50,6","50,0","50,6","49,7","1,77M","1,61%"
"12.11.2020","49,8","50,1","50,3","49,6","1,32M","-0,60%"
"11.11.2020","50,1","49,7","50,6","49,2","1,29M","1,21%"
"10.11.2020","49,5","49,6","50,0","49,1","2,40M","-1,20%"
"09.11.2020","50,1","50,2","51,3","49,9","2,62M","0,80%"
"06.11.2020","49,7","49,5","50,0","49,2","1,10M","0,20%"
"05.11.2020","49,6","49,4","50,0","49,0","1,25M","1,43%"
"03.11.2020","48,9","49,0","49,0","48,4","1,16M","0,00%"
"02.11.2020","48,9","47,1","48,9","47,1","1,56M","3,60%"
"30.10.2020","47,2","47,1","47,8","47,0","1,11M","-1,05%"
"29.10.2020","47,7","47,6","48,1","47,4","950,10K","0,42%"
"28.10.2020","47,5","47,5","48,3","47,2","995,90K","-0,63%"
"27.10.2020","47,8","47,3","48,0","47,0","719,00K","1,27%"
"26.10.2020","47,2","48,2","48,2","47,1","1,07M","-1,87%"
"23.10.2020","48,1","48,2","48,8","48,1","1,26M","0,00%"
"22.10.2020","48,1","48,4","48,5","47,9","831,40K","-0,41%"
"21.10.2020","48,3","48,9","49,2","48,2","951,60K","-1,02%"
"20.10.2020","48,8","49,3","49,5","48,7","1,38M","-1,01%"
"19.10.2020","49,3","49,9","50,2","49,2","1,32M","-1,20%"
"16.10.2020","49,9","49,6","50,2","49,6","980,20K","0,81%"
"15.10.2020","49,5","49,9","49,9","48,9","1,50M","-0,80%"
"14.10.2020","49,9","49,8","50,0","49,5","1,27M","0,40%"
"13.10.2020","49,7","50,0","50,0","49,6","1,11M","-0,20%"
"12.10.2020","49,8","49,0","49,8","48,7","977,80K","2,47%"
"09.10.2020","48,6","48,8","48,9","48,5","752,40K","-0,41%"
"08.10.2020","48,8","48,8","49,0","48,6","1,01M","0,41%"
"07.10.2020","48,6","48,5","48,8","48,2","630,60K","0,00%"
"06.10.2020","48,6","49,1","49,1","48,3","813,20K","-0,21%"
"05.10.2020","48,7","48,1","48,7","47,8","1,18M","1,25%"
"02.10.2020","48,1","47,9","48,2","47,1","884,70K","0,21%"
"01.10.2020","48,0","47,9","48,5","47,8","748,50K","0,21%"
"30.09.2020","47,9","48,3","48,3","47,3","1,06M","-0,83%"
"29.09.2020","48,3","48,1","49,0","47,9","2,95M","0,42%"
"28.09.2020","48,1","47,1","48,4","47,1","1,62M","3,22%"
"25.09.2020","46,6","45,8","46,8","45,5","1,91M","1,75%"
"24.09.2020","45,8","45,6","46,0","45,3","985,60K","-0,87%"
"23.09.2020","46,2","45,9","46,8","45,9","893,50K","1,32%"
"22.09.2020","45,6","45,2","46,0","45,1","773,50K","1,11%"
"21.09.2020","45,1","46,2","46,3","45,0","1,20M","-1,96%"
"18.09.2020","46,0","46,1","46,4","45,8","738,60K","-0,22%"
"17.09.2020","46,1","45,9","46,3","45,5","1,03M","-1,28%"
"16.09.2020","46,7","46,8","47,0","46,5","740,70K","0,00%"
"15.09.2020","46,7","46,8","47,0","46,3","841,30K","0,43%"
"14.09.2020","46,5","45,9","46,6","45,9","1,14M","1,53%"
"11.09.2020","45,8","46,2","46,2","45,5","1,42M","-1,51%"
"10.09.2020","46,5","46,9","47,1","46,3","1,07M","-0,43%"
"09.09.2020","46,7","46,9","46,9","46,2","1,20M","0,00%"
"08.09.2020","46,7","47,8","48,0","46,3","1,51M","-1,68%"
"07.09.2020","47,5","46,0","47,6","46,0","1,22M","2,81%"
"04.09.2020","46,2","47,9","47,9","45,3","2,96M","-3,75%"
"03.09.2020","48,0","49,4","50,0","47,4","1,62M","-1,03%"
"02.09.2020","48,5","47,3","48,9","47,3","1,36M","2,75%"
"01.09.2020","47,2","48,0","48,0","47,0","813,80K","-0,84%"
"31.08.2020","47,6","48,0","48,0","47,3","1,25M","0,42%"
"28.08.2020","47,4","47,7","48,0","47,2","1,57M","-1,04%"
"27.08.2020","47,9","47,4","48,0","47,4","1,23M","0,42%"
"26.08.2020","47,7","47,5","47,9","47,2","1,57M","1,49%"
"25.08.2020","47,0","46,5","47,2","46,5","1,15M","1,08%"
"24.08.2020","46,5","46,2","47,2","46,0","1,16M","0,65%"
"21.08.2020","46,2","45,5","46,4","45,5","898,40K","1,54%"
"20.08.2020","45,5","45,1","45,6","44,8","632,90K","0,66%"
"19.08.2020","45,2","45,0","45,5","45,0","684,60K","0,00%"
"18.08.2020","45,2","45,3","45,4","45,0","797,50K","-0,22%"
"17.08.2020","45,3","45,1","45,3","44,6","902,80K","1,34%"
"14.08.2020","44,7","45,1","45,1","44,6","674,10K","-0,67%"
"13.08.2020","45,0","45,4","45,4","44,9","797,00K","0,00%"
"12.08.2020","45,0","44,7","45,2","44,3","871,90K","0,67%"
"11.08.2020","44,7","45,0","45,0","44,5","1,09M","-0,22%"
"10.08.2020","44,8","45,5","45,5","43,6","1,38M","0,00%"
